Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
202328,726409783,-13,1,103.675,32.3928,4.25356,98.3931,1.82212,0.130565,13,-1,77.1347,-7.27251,-17.7868,74.7027,2.06706,-1.95893,-13,1,25.7706,-18.5641,-2.34523,17.7196,0.843385,-3.01593,13,-1,32.8879,-6.34175,11.6749,30.0846,1.55598,2.0684
199571,523247934,-13,1,36.1953,-2.40113,12.3405,33.9416,1.71898,1.76297,13,-1,14.7675,-2.0246,5.34997,13.6142,1.60172,1.93257,-11,1,105.411,-19.9859,21.5274,-101.236,-1.95088,2.31908,-11,1,31.9119,-5.30546,11.2823,29.3757,1.59245,2.01036
199569,84956243,13,-1,136.489,-66.2617,-93.1566,74.5692,0.613145,-2.18906,-13,1,60.1677,-30.3074,-45.6693,24.8178,0.438593,-2.15669,-11,1,165.88,-43.9171,-10.2337,159.633,1.97666,-2.91266,11,-1,10.2829,-4.95103,-9.01212,-0.0878864,-0.00854703,-2.07316
202469,340674577,13,-1,55.9462,-10.2779,54.7484,-5.19071,-0.0930482,1.75637,-13,1,56.7285,20.4281,-18.1541,-49.7115,-1.35963,-0.726526,-11,1,119.024,-27.0429,-53.2316,-102.965,-1.31318,-2.04084,11,-1,41.1676,27.3142,20.9911,-22.5406,-0.614851,0.65524
201191,195183604,-13,1,31.8033,16.5413,24.2167,12.3034,0.408105,0.971535,13,-1,11.6322,8.90188,7.39498,1.16938,0.100875,0.693195,-11,1,80.043,-64.4063,-47.5215,0.64205,0.00802148,-2.50592,-11,1,47.4533,31.5233,27.9241,21.8711,0.498449,0.724929
200466,153791279,-13,1,83.5879,-49.9077,60.1416,-29.6502,-0.370832,2.26347,13,-1,35.2439,11.6191,7.09282,32.5086,1.60484,0.548065,11,-1,26.5579,-23.4586,7.12186,-10.2125,-0.405374,2.84684,-11,1,24.0504,-2.71281,18.033,15.6803,0.778733,1.72011
202237,932792382,-13,1,34.5335,-10.3866,18.0801,-27.5278,-1.09071,2.09224,13,-1,39.8619,-6.46773,16.7525,-35.5876,-1.43545,1.93924,13,-1,15.3283,-2.67051,7.9385,-12.8373,-1.21276,1.8953,-13,1,11.6307,-2.55219,6.15587,-9.53178,-1.1555,1.96382
202237,935333715,-13,1,18.7492,-4.18403,18.273,0.336613,0.0179557,1.79589,13,-1,16.2374,-10.8838,11.9612,-1.45382,-0.0897777,2.30907,11,-1,129.885,41.7341,-20.8164,121.223,1.68348,-0.462676,-11,1,27.3191,-18.0185,20.4763,1.54594,0.0566488,2.29243
194790,38426260,13,-1,68.1802,47.9753,-15.0736,-46.04,-0.820369,-0.304428,-13,1,127.307,-22.5594,19.7162,-123.731,-2.12571,2.42335,11,-1,89.5331,-3.93507,84.0787,30.5198,0.355085,1.61756,-11,1,22.4112,2.37094,-19.1243,-11.4412,-0.563422,-1.44745
198522,177804075,-13,1,67.3769,-7.14595,43.4131,51.0281,0.989983,1.73394,13,-1,31.9064,7.52289,-18.3729,24.977,1.05263,-1.18217,11,-1,30.2029,-1.56272,-20.1124,22.4781,0.959907,-1.64834,-11,1,9.71801,2.51951,-6.75658,6.51463,0.811409,-1.21387
198522,179957445,13,-1,45.7098,-12.1983,-40.2258,-17.9572,-0.415169,-1.86523,13,-1,29.7473,6.83912,20.4703,-20.4715,-0.8445,1.24836,-13,1,25.1774,3.29004,12.9959,-21.3113,-1.24351,1.32285,-13,1,10.7118,2.30225,7.30821,-7.48467,-0.864889,1.26561
199834,519019963,-13,1,113.753,25.0998,-73.1895,83.3848,0.935255,-1.24042,13,-1,223.874,-14.4551,45.0573,218.816,2.23595,1.88124,13,-1,31.2038,-22.9785,8.62429,19.2685,0.72097,2.78254,-13,1,13.5344,-10.8387,-5.62051,-5.83954,-0.461705,-2.66321
201625,563724981,-13,1,205.432,-24.6194,-43.9769,-199.153,-2.08289,-2.08115,13,-1,135.406,33.8438,27.5863,-128.174,-1.79787,0.683883,13,-1,30.0374,23.3234,17.4723,7.27803,0.247217,0.642945,11,-1,126.461,36.0075,-21.8636,119.239,1.76346,-0.545694
202237,140366838,-13,1,86.783,25.3782,-70.1888,-44.2805,-0.563059,-1.22385,13,-1,39.2651,-18.8543,29.7705,-17.3196,-0.473592,2.13536,-13,1,46.8038,10.8239,3.29482,-45.4156,-2.0981,0.295489,11,-1,26.4236,-1.23866,7.45853,25.3188,1.92331,1.73537
