Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,18965709,13,-1,116.177,69.2664,24.5676,89.9764,1.03142,0.34084,-13,1,13.7512,-12.0362,-5.87564,3.11327,0.230398,-2.68746,-11,1,14.0072,1.70591,-9.49694,10.1539,0.917896,-1.39306,11,-1,13.0804,1.53315,-8.8802,9.4809,0.917725,-1.39983
1,24320280,13,-1,16.9765,-2.0017,11.1547,-12.6394,-0.960591,1.74836,-11,1,100.613,15.5164,-63.0267,76.875,1.00592,-1.32941,11,-1,47.6534,-16.8525,28.1489,34.5613,0.91866,2.11025,-11,1,23.3072,-2.52608,15.838,-16.9116,-0.919361,1.72896
1,35347480,13,-1,8.44845,2.56805,-7.9742,1.08733,0.12943,-1.25924,11,-1,41.8233,-29.1216,-16.2275,-25.2546,-0.699169,-2.63321,-11,1,29.5821,10.3694,13.3776,24.2613,1.15723,0.911403,-11,1,17.6542,5.64493,7.07696,15.1565,1.28771,0.89749
1,80759373,-13,1,52.5527,-5.28411,36.3274,-37.6054,-0.898522,1.71524,13,-1,47.3673,17.5188,-26.3489,-35.2488,-0.95974,-0.984033,-11,1,16.3481,-7.90557,11.9011,-7.94512,-0.530806,2.15714,11,-1,11.9046,-5.62631,8.77181,-5.75491,-0.527438,2.14111
1,11661857,-13,1,59.1222,-35.7732,27.2828,-38.3582,-0.773216,2.49004,13,-1,28.1445,23.6785,-14.6221,4.19868,0.150306,-0.553207,-13,1,29.1634,-3.10184,-7.00687,-28.1385,-2.01196,-1.98755,11,-1,20.6409,-12.5401,9.643,-13.2592,-0.762205,2.48606
1,24698611,-13,1,56.2549,9.09213,-37.2705,-41.1442,-0.93171,-1.33152,13,-1,34.3592,-11.9375,31.8168,-5.07246,-0.148718,1.92974,11,-1,10.4278,-3.50667,9.68032,-1.6536,-0.159925,1.91834,-11,1,8.67509,-3.04944,8.00269,-1.38383,-0.160891,1.93486
1,14380627,-11,1,70.7176,-25.8407,-2.66388,-65.7734,-1.65902,-3.03887,-11,1,94.0275,0.674115,18.4493,-92.1973,-2.31126,1.53427,11,-1,83.0496,9.03724,-15.825,-81.0255,-2.1976,-1.05192,11,-1,73.2148,4.03406,16.9096,-71.121,-2.11658,1.33661
1,41827539,13,-1,100.605,0.294469,-34.0085,94.6815,1.74782,-1.56214,-13,1,25.5105,6.15629,-12.9881,21.0757,1.17593,-1.12817,-13,1,12.6399,-9.13262,7.36139,4.70766,0.391272,2.46317,11,-1,46.9662,-8.57509,13.3397,44.208,1.74909,2.14211
1,91204530,-13,1,10.357,-4.90943,6.46218,6.43377,0.727012,2.22049,13,-1,10.084,5.49634,-1.58182,8.30448,1.16783,-0.280223,11,-1,53.2417,-30.366,-39.8311,18.0574,0.353143,-2.22217,-11,1,39.953,27.5194,16.2668,-23.9649,-0.692876,0.533853
1,91460475,-13,1,135.731,0.237464,54.4753,124.319,1.56312,1.56644,13,-1,29.1395,5.75022,-3.81785,28.3101,2.11906,-0.586118,-13,1,6.86233,4.01881,4.00799,3.85559,0.635628,0.78405,11,-1,23.817,-21.9176,-9.12929,1.87734,0.0789873,-2.74692
1,88536862,-13,1,368.48,134.746,101.954,-327.454,-1.41553,0.647737,13,-1,261.785,32.2437,45.0923,-255.849,-2.23407,0.950034,13,-1,22.2058,-15.3066,7.32438,-14.3231,-0.766725,2.69528,11,-1,21.6085,-13.058,-15.257,7.9774,0.387473,-2.27869
1,14440140,11,-1,92.4649,36.2428,-7.2601,-84.7556,-1.56748,-0.197702,-11,1,48.939,-30.9884,17.9783,-33.3395,-0.831437,2.61589,11,-1,9.61179,-7.96236,1.64984,-5.12497,-0.5946,2.93728,-11,1,9.02316,-7.50857,1.37598,-4.81098,-0.59458,2.96035
