Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,6764207,13,-1,34.4214,29.2183,15.3401,-9.78759,-0.292406,0.483461,-13,1,8.35979,7.9721,1.43769,2.06242,0.251925,0.178422,11,-1,42.7095,-10.6107,4.51758,41.123,1.98366,2.73908,11,-1,34.1432,-10.2991,3.07104,32.4076,1.82332,2.8518
1,11258037,-13,1,201.733,-36.1723,37.5691,194.876,2.02878,2.33725,13,-1,53.9805,-10.6289,4.87942,52.6982,2.21062,2.71122,-11,1,187.438,-33.5888,34.9314,181.065,2.0287,2.3366,-11,1,44.6415,42.6584,-5.42263,11.988,0.27529,-0.126439
1,23505263,-11,1,128.026,-72.5183,-15.4877,104.364,1.14227,-2.93118,-11,1,304.601,49.5516,40.7213,297.773,2.23985,0.687891,11,-1,37.5749,33.4931,10.6409,-13.2985,-0.369919,0.307618,11,-1,91.9936,16.7288,6.52675,90.224,2.31722,0.371986
1,24605163,-11,1,482.124,2.18556,-88.3454,-473.956,-2.38128,-1.54606,-11,1,245.253,22.6992,69.2797,-234.167,-1.88344,1.25417,11,-1,63.7882,-5.4262,37.2555,-51.4929,-1.11908,1.71543,-11,1,34.6064,4.79901,23.2615,-25.1689,-0.922954,1.36734
1,29508645,11,-1,120.224,64.5265,-36.644,-94.5904,-1.06294,-0.516474,-11,1,59.5664,-26.2582,5.03943,53.2284,1.4395,2.95198,11,-1,14.9307,-13.5025,6.33844,0.658956,0.0441629,2.7027,11,-1,19.3971,-12.6582,-0.470257,14.6901,0.989929,-3.10446
1,11891076,-11,1,137.537,10.2729,-31.0504,-133.592,-2.11504,-1.25129,-11,1,44.4062,0.125936,-14.9071,-41.8291,-1.75521,-1.56235,11,-1,31.9552,-11.2007,0.496898,-29.9238,-1.70822,3.09726,-11,1,31.3453,-0.223806,-9.11679,-29.9894,-1.90593,-1.59534
1,17107661,13,-1,145.466,-61.3276,-12.783,-131.285,-1.48562,-2.9361,-13,1,25.4597,-13.5094,-0.256744,-21.5782,-1.24738,-3.12259,11,-1,344.907,-93.0014,59.3539,-326.786,-1.80635,2.57355,11,-1,38.5604,-16.3135,-3.27839,-34.7854,-1.48339,-2.94327
1,17381221,-13,1,8.22339,6.88978,2.07938,3.97745,0.527823,0.293113,11,-1,279.431,50.3766,95.5641,257.704,1.60385,1.08567,11,-1,85.4626,-73.4466,-33.9015,-27.5707,-0.334552,-2.70915,-11,1,75.6092,-41.327,-44.687,-44.8542,-0.682647,-2.31715
1,11858426,-11,1,355.967,4.14254,197.056,296.419,1.19693,1.54978,11,-1,142.454,1.32561,-95.9254,105.307,0.948797,-1.55698,-11,1,60.3613,-28.0425,-8.83309,52.7169,1.34706,-2.83644,11,-1,8.59176,-6.35807,-3.26268,4.76952,0.625761,-2.66748
1,17678313,-13,1,29.9846,2.22163,-22.4314,-19.7727,-0.79181,-1.47208,-13,1,27.2511,-7.00473,-1.91026,-26.2658,-1.99754,-2.87536,11,-1,43.1393,-38.8386,13.2048,13.3492,0.319929,2.81386,-11,1,17.0861,-15.5482,6.48488,-2.8521,-0.168502,2.74645
1,7742153,-11,1,152.876,109.154,-81.246,-69.6802,-0.491994,-0.639857,-11,1,147.853,-67.9653,22.8216,-129.307,-1.35218,2.81764,11,-1,73.3259,-34.9244,46.7409,-44.4102,-0.702031,2.2125,-11,1,79.805,-26.9909,21.5452,-71.9453,-1.48025,2.46793
1,15285728,-13,1,29.3845,-14.3451,22.6811,-11.9676,-0.432344,2.13475,13,-1,19.5888,9.21384,8.98053,-14.7704,-0.982241,0.772575,-11,1,173.498,87.0743,-22.7186,-148.336,-1.27435,-0.255221,-11,1,237.904,-77.0486,-32.4267,-222.733,-1.70664,-2.74323
