Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,191448,13,-1,57.2648,-9.78696,-13.3668,-54.816,-1.91182,-2.2028,-13,1,48.9064,-8.86152,-8.67086,-47.3088,-2.04905,-2.36707,-13,1,7.9131,0.875875,7.78167,-1.13333,-0.144227,1.45871,11,-1,257.043,41.7443,70.5901,-243.609,-1.80908,1.03675
1,353429,-13,1,17.7509,9.1974,-2.79542,-14.9224,-1.22345,-0.295064,11,-1,23.527,0.0855244,-23.5217,-0.488402,-0.0207622,-1.56716,-11,1,52.3845,-9.9496,-18.6383,47.9349,1.55777,-2.06114,11,-1,9.17515,-7.82987,4.1829,-2.31948,-0.258402,2.65094
1,43733,13,-1,126.246,2.90925,-124.636,19.8863,0.158843,-1.54746,-11,1,90.8134,22.7302,25.3171,84.1989,1.63779,0.839187,-11,1,31.0846,-28.7833,-8.34468,8.25494,0.272084,-2.85941,11,-1,77.875,-17.1277,12.2618,74.9721,1.98185,2.52027
1,313527,-13,1,89.7536,-80.9576,-28.262,-26.5109,-0.304445,-2.80572,13,-1,20.6937,5.05897,8.15902,-18.3319,-1.40243,1.01577,-13,1,12.4665,1.42152,4.90057,-11.3739,-1.54162,1.28847,11,-1,149.633,53.8593,-10.9482,-139.174,-1.65914,-0.200543
1,433269,13,-1,64.6244,-31.8201,-9.60523,-55.4213,-1.28417,-2.84843,-11,1,40.5825,28.1811,23.0818,-17.8886,-0.473216,0.68625,11,-1,33.3033,29.8975,13.0376,-6.72801,-0.20484,0.411214,-11,1,31.5562,27.6707,14.9278,2.69906,0.0857413,0.494732
1,177909,13,-1,54.804,-42.4795,-24.1832,24.7817,0.487449,-2.62406,-13,1,16.5524,-3.78905,-15.5634,-4.1709,-0.257533,-1.80961,13,-1,12.3021,0.970896,7.62507,9.60454,1.04729,1.44415,-11,1,23.9783,4.79911,14.9991,18.0818,0.982374,1.26113
1,375884,13,-1,63.5617,2.78635,44.0497,-45.7378,-0.906776,1.50763,13,-1,7.77237,7.16223,-0.624445,2.95148,0.399797,-0.0869659,-11,1,42.8347,-15.8878,39.7071,-2.39626,-0.0560004,1.95141,-11,1,89.5914,4.06702,-33.8391,82.8553,1.6213,-1.45118
1,256660,13,-1,66.4904,-51.9092,17.5138,37.6783,0.64261,2.81619,-13,1,17.1936,12.9878,-10.2433,4.6904,0.279892,-0.667803,-11,1,27.9332,25.3465,-10.419,5.40997,0.196152,-0.390007,-11,1,28.5901,14.2933,-19.3017,15.5093,0.607651,-0.933391
1,285490,13,-1,39.0919,0.562877,-35.6446,16.041,0.436022,-1.55501,13,-1,42.0531,-6.02566,-28.8921,29.9565,0.891943,-1.77641,-11,1,73.2626,14.408,-17.8728,69.5729,1.82807,-0.892323,-11,1,22.7921,-4.10412,-15.3037,16.3838,0.905238,-1.83281
1,98268,-13,1,10.1809,-5.33785,-0.215762,8.66601,1.26068,-3.10119,13,-1,6.75131,-5.02718,1.24038,4.33104,0.760871,2.89969,11,-1,49.2633,-48.1138,10.4015,1.93517,0.0393024,2.92868,-11,1,33.5304,17.8258,-16.408,-23.1799,-0.85046,-0.744006
